,abilities,attack,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
0,"['Overgrow', 'Chlorophyll']",49,318,45,Seed Pok̩mon,49,1059860,0.7,45,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
1,"['Overgrow', 'Chlorophyll']",62,405,45,Seed Pok̩mon,63,1059860,1.0,60,Ivysaur,88.1,2,80,80,60,grass,poison,13.0,1,0
2,"['Overgrow', 'Chlorophyll']",100,625,45,Seed Pok̩mon,123,1059860,2.0,80,Venusaur,88.1,3,122,120,80,grass,poison,100.0,1,0
3,"['Blaze', 'Solar Power']",52,309,45,Lizard Pok̩mon,43,1059860,0.6,39,Charmander,88.1,4,60,50,65,fire,,8.5,1,0
4,"['Blaze', 'Solar Power']",64,405,45,Flame Pok̩mon,58,1059860,1.1,58,Charmeleon,88.1,5,80,65,80,fire,,19.0,1,0
5,"['Blaze', 'Solar Power']",104,634,45,Flame Pok̩mon,78,1059860,1.7,78,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
6,"['Torrent', 'Rain Dish']",48,314,45,Tiny Turtle Pok̩mon,65,1059860,0.5,44,Squirtle,88.1,7,50,64,43,water,,9.0,1,0
7,"['Torrent', 'Rain Dish']",63,405,45,Turtle Pok̩mon,80,1059860,1.0,59,Wartortle,88.1,8,65,80,58,water,,22.5,1,0
8,"['Torrent', 'Rain Dish']",103,630,45,Shellfish Pok̩mon,120,1059860,1.6,79,Blastoise,88.1,9,135,115,78,water,,85.5,1,0
9,"['Shield Dust', 'Run Away']",30,195,255,Worm Pok̩mon,35,1000000,0.3,45,Caterpie,50.0,10,20,20,45,bug,,2.9,1,0
10,['Shed Skin'],20,205,120,Cocoon Pok̩mon,55,1000000,0.7,50,Metapod,50.0,11,25,25,30,bug,,9.9,1,0
11,"['Compoundeyes', 'Tinted Lens']",45,395,45,Butterfly Pok̩mon,50,1000000,1.1,60,Butterfree,50.0,12,90,80,70,bug,flying,32.0,1,0
12,"['Shield Dust', 'Run Away']",35,195,255,Hairy Pok̩mon,30,1000000,0.3,40,Weedle,50.0,13,20,20,50,bug,poison,3.2,1,0
13,['Shed Skin'],25,205,120,Cocoon Pok̩mon,50,1000000,0.6,45,Kakuna,50.0,14,25,25,35,bug,poison,10.0,1,0
14,"['Swarm', 'Sniper']",150,495,45,Poison Bee Pok̩mon,40,1000000,1.0,65,Beedrill,50.0,15,15,80,145,bug,poison,29.5,1,0
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,251,255,Tiny Bird Pok̩mon,40,1059860,0.3,40,Pidgey,50.0,16,35,35,56,normal,flying,1.8,1,0
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,349,120,Bird Pok̩mon,55,1059860,1.1,63,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,579,45,Bird Pok̩mon,80,1059860,1.5,83,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,253,255,Mouse Pok̩mon,35,1000000,,30,Rattata,50.0,19,25,35,72,normal,dark,,1,0
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,413,127,Mouse Pok̩mon,70,1000000,,75,Raticate,50.0,20,40,80,77,normal,dark,,1,0
20,"['Keen Eye', 'Sniper']",60,262,255,Tiny Bird Pok̩mon,30,1000000,0.3,40,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0
21,"['Keen Eye', 'Sniper']",90,442,90,Beak Pok̩mon,65,1000000,1.2,65,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0
22,"['Intimidate', 'Shed Skin', 'Unnerve']",60,288,255,Snake Pok̩mon,44,1000000,2.0,35,Ekans,50.0,23,40,54,55,poison,,6.9,1,0
23,"['Intimidate', 'Shed Skin', 'Unnerve']",95,448,90,Cobra Pok̩mon,69,1000000,3.5,60,Arbok,50.0,24,65,79,80,poison,,65.0,1,0
24,"['Static', 'Lightningrod']",55,320,190,Mouse Pok̩mon,40,1000000,0.4,35,Pikachu,50.0,25,50,50,90,electric,,6.0,1,0
25,"['Static', 'Lightningrod', 'Surge Surfer']",85,485,75,Mouse Pok̩mon,50,1000000,,60,Raichu,50.0,26,95,85,110,electric,electric,,1,0
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,300,255,Mouse Pok̩mon,90,1000000,,50,Sandshrew,50.0,27,10,35,40,ground,ice,,1,0
